,compound,create_date,negative,neutral,news_media,positive,tweets_ago
55,0.8478,2018-06-11 00:50:18+00:00,0.0,0.494,CBS,0.506,-55
56,0.8858,2018-06-11 00:45:14+00:00,0.0,0.435,CBS,0.565,-56
57,0.0,2018-06-11 00:44:36+00:00,0.0,1.0,CBS,0.0,-57
58,0.25,2018-06-11 00:35:41+00:00,0.0,0.92,CBS,0.08,-58
59,0.4588,2018-06-11 00:34:45+00:00,0.0,0.833,CBS,0.167,-59
60,0.0,2018-06-11 00:31:28+00:00,0.0,1.0,CBS,0.0,-60
61,0.3612,2018-06-11 00:27:42+00:00,0.0,0.737,CBS,0.263,-61
62,0.8908,2018-06-11 00:27:00+00:00,0.0,0.43,CBS,0.57,-62
63,0.0,2018-06-11 00:24:31+00:00,0.0,1.0,CBS,0.0,-63
64,0.0,2018-06-11 00:22:15+00:00,0.0,1.0,CBS,0.0,-64
65,0.6369,2018-06-11 00:22:15+00:00,0.0,0.588,CBS,0.412,-65
66,0.0,2018-06-11 00:18:16+00:00,0.0,1.0,CBS,0.0,-66
67,0.6369,2018-06-11 00:13:27+00:00,0.0,0.756,CBS,0.244,-67
68,0.8834,2018-06-11 00:12:31+00:00,0.0,0.437,CBS,0.563,-68
69,0.6696,2018-06-11 00:06:39+00:00,0.0,0.64,CBS,0.36,-69
70,0.0,2018-06-11 00:04:15+00:00,0.0,1.0,CBS,0.0,-70
71,0.0,2018-06-10 23:59:00+00:00,0.0,1.0,CBS,0.0,-71
72,0.0,2018-06-10 23:18:15+00:00,0.0,1.0,CBS,0.0,-72
73,0.0,2018-06-10 22:01:25+00:00,0.0,1.0,CBS,0.0,-73
74,0.4184,2018-06-10 15:00:01+00:00,0.0,0.843,CBS,0.157,-74
75,0.5093,2018-06-09 21:00:02+00:00,0.0,0.845,CBS,0.155,-75
76,0.0,2018-06-09 16:00:00+00:00,0.0,1.0,CBS,0.0,-76
77,0.296,2018-06-08 19:46:17+00:00,0.0,0.82,CBS,0.18,-77
78,0.0,2018-06-08 15:00:03+00:00,0.0,1.0,CBS,0.0,-78
79,0.9078,2018-06-08 13:58:15+00:00,0.0,0.564,CBS,0.436,-79
80,0.3612,2018-06-07 17:03:26+00:00,0.0,0.872,CBS,0.128,-80
81,0.2732,2018-06-06 21:00:24+00:00,0.105,0.719,CBS,0.176,-81
82,0.3595,2018-06-06 00:08:30+00:00,0.0,0.872,CBS,0.128,-82
83,-0.4404,2018-06-05 22:23:35+00:00,0.177,0.723,CBS,0.1,-83
84,0.4574,2018-06-05 22:12:28+00:00,0.0,0.824,CBS,0.176,-84
85,0.5093,2018-06-05 19:00:02+00:00,0.0,0.845,CBS,0.155,-85
86,0.0,2018-06-05 15:04:41+00:00,0.0,1.0,CBS,0.0,-86
87,0.0,2018-06-04 17:00:00+00:00,0.0,1.0,CBS,0.0,-87
88,-0.3903,2018-06-01 17:39:17+00:00,0.131,0.807,CBS,0.062,-88
89,0.8442,2018-06-01 17:00:03+00:00,0.0,0.664,CBS,0.336,-89
90,0.8932,2018-05-31 23:50:00+00:00,0.0,0.545,CBS,0.455,-90
91,0.4926,2018-05-30 15:07:34+00:00,0.0,0.849,CBS,0.151,-91
92,0.0,2018-05-28 21:00:01+00:00,0.0,1.0,CBS,0.0,-92
93,0.0,2018-05-28 02:08:19+00:00,0.0,1.0,CBS,0.0,-93
94,0.6239,2018-05-23 23:07:38+00:00,0.0,0.789,CBS,0.211,-94
95,0.5859,2018-05-23 19:02:43+00:00,0.0,0.826,CBS,0.174,-95
96,0.1139,2018-05-22 23:19:40+00:00,0.0,0.917,CBS,0.083,-96
97,0.0,2018-05-22 20:02:22+00:00,0.0,1.0,CBS,0.0,-97
98,0.0,2018-05-21 23:00:01+00:00,0.0,1.0,CBS,0.0,-98
99,0.3382,2018-05-20 20:00:00+00:00,0.061,0.808,CBS,0.131,-99
0,0.0,2018-07-02 03:15:01+00:00,0.0,1.0,CNN,0.0,0
1,0.0,2018-07-02 02:45:06+00:00,0.0,1.0,CNN,0.0,-1
2,-0.3182,2018-07-02 02:15:00+00:00,0.095,0.905,CNN,0.0,-2
3,0.0,2018-07-02 02:00:01+00:00,0.0,1.0,CNN,0.0,-3
4,0.0,2018-07-02 01:45:03+00:00,0.0,1.0,CNN,0.0,-4
5,-0.2263,2018-07-02 01:30:00+00:00,0.119,0.881,CNN,0.0,-5
6,0.6908,2018-07-02 01:15:10+00:00,0.0,0.711,CNN,0.289,-6
7,-0.6486,2018-07-02 01:00:15+00:00,0.371,0.629,CNN,0.0,-7
8,0.2023,2018-07-02 01:00:00+00:00,0.179,0.595,CNN,0.226,-8
9,0.0,2018-07-02 00:45:04+00:00,0.0,1.0,CNN,0.0,-9
10,0.835,2018-07-02 00:37:12+00:00,0.056,0.632,CNN,0.312,-10
11,0.0,2018-07-02 00:30:08+00:00,0.0,1.0,CNN,0.0,-11
12,0.0,2018-07-02 00:15:05+00:00,0.0,1.0,CNN,0.0,-12
13,0.0,2018-07-01 23:45:00+00:00,0.0,1.0,CNN,0.0,-13
14,0.7269,2018-07-01 23:30:00+00:00,0.0,0.697,CNN,0.303,-14
15,0.0,2018-07-01 23:22:19+00:00,0.0,1.0,CNN,0.0,-15
16,0.1779,2018-07-01 23:00:01+00:00,0.0,0.914,CNN,0.086,-16
17,0.0,2018-07-01 22:45:00+00:00,0.0,1.0,CNN,0.0,-17
18,-0.7906,2018-07-01 22:37:00+00:00,0.269,0.731,CNN,0.0,-18
19,0.0,2018-07-01 22:30:00+00:00,0.0,1.0,CNN,0.0,-19
20,0.5994,2018-07-01 22:15:00+00:00,0.0,0.782,CNN,0.218,-20
21,-0.2235,2018-07-01 22:00:00+00:00,0.106,0.894,CNN,0.0,-21
22,-0.3956,2018-07-01 21:45:00+00:00,0.273,0.6,CNN,0.127,-22
23,0.4939,2018-07-01 21:40:00+00:00,0.0,0.802,CNN,0.198,-23
24,-0.9186,2018-07-01 21:30:00+00:00,0.542,0.458,CNN,0.0,-24
25,-0.5574,2018-07-01 21:15:00+00:00,0.365,0.635,CNN,0.0,-25
26,0.4939,2018-07-01 21:00:02+00:00,0.0,0.833,CNN,0.167,-26
27,0.4767,2018-07-01 20:45:06+00:00,0.0,0.795,CNN,0.205,-27
28,-0.4767,2018-07-01 20:30:03+00:00,0.205,0.795,CNN,0.0,-28
29,0.0,2018-07-01 20:15:04+00:00,0.0,1.0,CNN,0.0,-29
30,0.2023,2018-07-01 20:00:16+00:00,0.0,0.87,CNN,0.13,-30
31,0.0,2018-07-01 19:45:05+00:00,0.0,1.0,CNN,0.0,-31
32,-0.4215,2018-07-01 19:30:09+00:00,0.223,0.676,CNN,0.101,-32
33,-0.4404,2018-07-01 19:15:09+00:00,0.225,0.775,CNN,0.0,-33
